epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,12372.6,0.62037,0.39227,0.9772,0.93919,0.90564,0.95744,0.78627,0.73208,0.44554,1.12864,0.000636,0.000636,0.000636
64,12567.2,0.62097,0.39524,0.98265,0.93787,0.91003,0.95494,0.78518,0.73084,0.44066,1.12769,0.000614,0.000614,0.000614
65,12761.7,0.61535,0.39635,0.97674,0.93812,0.90299,0.95751,0.78658,0.72406,0.44564,1.12286,0.000592,0.000592,0.000592
66,12956.1,0.61138,0.38839,0.97149,0.93438,0.90609,0.95725,0.785,0.73081,0.44943,1.12696,0.00057,0.00057,0.00057
67,13150.7,0.61511,0.38596,0.97304,0.93307,0.91339,0.9569,0.78619,0.73362,0.44238,1.12932,0.000548,0.000548,0.000548
68,13347,0.60674,0.38128,0.96978,0.92582,0.91755,0.95476,0.78482,0.73357,0.45243,1.13518,0.000526,0.000526,0.000526
69,13542,0.60404,0.37809,0.96303,0.93339,0.90485,0.95541,0.7842,0.73632,0.44879,1.13761,0.000504,0.000504,0.000504
70,13737,0.59489,0.3748,0.96257,0.93478,0.90763,0.95426,0.78557,0.73807,0.45075,1.13747,0.000482,0.000482,0.000482
71,13931.9,0.59371,0.36985,0.96406,0.93959,0.90195,0.95704,0.79255,0.72821,0.44438,1.12726,0.00046,0.00046,0.00046
72,14126.9,0.59729,0.37146,0.96299,0.93936,0.90439,0.95627,0.79228,0.72433,0.44088,1.12165,0.000438,0.000438,0.000438
73,14322.3,0.58966,0.36706,0.95794,0.93597,0.90063,0.95401,0.78922,0.73124,0.45177,1.13403,0.000416,0.000416,0.000416
74,14516.7,0.58902,0.3671,0.95849,0.93856,0.9051,0.95759,0.79321,0.71784,0.44432,1.1229,0.000394,0.000394,0.000394
75,14712.7,0.58638,0.3663,0.95906,0.94577,0.90209,0.95787,0.79532,0.71964,0.43859,1.12174,0.000372,0.000372,0.000372
76,14909.3,0.57844,0.35915,0.95847,0.94814,0.89687,0.95501,0.79394,0.71629,0.44962,1.11889,0.00035,0.00035,0.00035
77,15104.4,0.58361,0.36587,0.95943,0.94481,0.90687,0.95613,0.79025,0.72334,0.45115,1.12539,0.000328,0.000328,0.000328
78,15299.5,0.57335,0.35459,0.95195,0.94223,0.90494,0.95671,0.79145,0.72533,0.45091,1.12652,0.000306,0.000306,0.000306
79,15494.5,0.57217,0.35792,0.95408,0.94287,0.90013,0.95702,0.7935,0.72564,0.44784,1.12986,0.000284,0.000284,0.000284
80,15688.7,0.56562,0.34797,0.94813,0.94517,0.90249,0.9565,0.79349,0.72644,0.44604,1.13413,0.000262,0.000262,0.000262
81,15883.9,0.50189,0.27323,0.91052,0.94131,0.90502,0.95452,0.78815,0.73238,0.45063,1.14003,0.00024,0.00024,0.00024
82,16077.2,0.49129,0.26322,0.90292,0.93773,0.89696,0.95153,0.79027,0.72116,0.459,1.13028,0.000218,0.000218,0.000218
83,16275.7,0.48577,0.2618,0.90214,0.93893,0.89937,0.95194,0.79121,0.72073,0.46329,1.12989,0.000196,0.000196,0.000196
84,16468.8,0.4808,0.25788,0.89839,0.94336,0.89797,0.95101,0.78984,0.72344,0.4638,1.13792,0.000174,0.000174,0.000174
85,16662,0.48161,0.25688,0.90227,0.9436,0.90211,0.95241,0.79094,0.72388,0.46055,1.137,0.000152,0.000152,0.000152
86,16856.4,0.47449,0.2545,0.89439,0.94709,0.89779,0.95295,0.79027,0.72991,0.45134,1.14275,0.00013,0.00013,0.00013
87,17050.3,0.4699,0.2484,0.89053,0.94573,0.90313,0.95301,0.79181,0.72579,0.45438,1.14067,0.000108,0.000108,0.000108
88,17244.8,0.46709,0.24879,0.89013,0.94307,0.90125,0.952,0.79266,0.72379,0.45833,1.13907,8.6e-05,8.6e-05,8.6e-05
89,17438.3,0.46373,0.24885,0.88716,0.94961,0.89812,0.95286,0.79242,0.72493,0.45795,1.14302,6.4e-05,6.4e-05,6.4e-05
90,17631.7,0.46578,0.24635,0.89104,0.94686,0.89929,0.95281,0.79359,0.72325,0.45632,1.14111,4.2e-05,4.2e-05,4.2e-05
