epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,7421.54,0.81372,0.87788,1.10284,0.6959,0.69532,0.75459,0.58149,0.83478,0.89874,1.13943,0.000481144,0.000481144,0.000481144
69,7530.58,0.79903,0.87169,1.09378,0.70132,0.70676,0.75562,0.58161,0.84069,0.89436,1.14357,0.000466997,0.000466997,0.000466997
70,7638.63,0.80557,0.86233,1.09128,0.71257,0.69558,0.76041,0.58741,0.82945,0.88328,1.13748,0.00045285,0.00045285,0.00045285
71,7747.68,0.79764,0.8534,1.08653,0.69192,0.71523,0.76035,0.5883,0.82941,0.88892,1.13398,0.000438703,0.000438703,0.000438703
72,7857.16,0.79169,0.83904,1.08207,0.69527,0.72076,0.76324,0.59043,0.83122,0.88285,1.138,0.000424556,0.000424556,0.000424556
73,7965.95,0.78886,0.83511,1.08664,0.69789,0.71847,0.75733,0.58576,0.82866,0.88434,1.13907,0.000410409,0.000410409,0.000410409
74,8076.14,0.78222,0.83234,1.07754,0.69186,0.71068,0.75443,0.58532,0.82747,0.8912,1.12885,0.000396262,0.000396262,0.000396262
75,8184.6,0.77821,0.82236,1.0745,0.69287,0.71357,0.7579,0.58828,0.82651,0.88566,1.13235,0.000382115,0.000382115,0.000382115
76,8293.79,0.77811,0.81902,1.07257,0.69032,0.7188,0.76003,0.59094,0.82277,0.88581,1.13444,0.000367967,0.000367967,0.000367967
77,8402.21,0.78059,0.81097,1.07532,0.69961,0.71727,0.76076,0.59359,0.82391,0.87893,1.13252,0.00035382,0.00035382,0.00035382
78,8509.94,0.7653,0.79576,1.06834,0.71126,0.70387,0.76277,0.59006,0.82707,0.87871,1.13949,0.000339673,0.000339673,0.000339673
79,8618.71,0.76104,0.78642,1.06207,0.7142,0.69829,0.76619,0.59326,0.83574,0.87728,1.14394,0.000325526,0.000325526,0.000325526
80,8726.79,0.76142,0.78599,1.06494,0.68253,0.73085,0.75751,0.58689,0.82557,0.88635,1.13732,0.000311379,0.000311379,0.000311379
81,8835.52,0.76486,0.79401,1.06912,0.69607,0.72342,0.76439,0.59549,0.82225,0.87656,1.13518,0.000297232,0.000297232,0.000297232
82,8948.33,0.75778,0.77977,1.0626,0.6959,0.73003,0.76169,0.5911,0.82496,0.87855,1.13614,0.000283085,0.000283085,0.000283085
83,9057.01,0.75266,0.7736,1.06209,0.7027,0.72254,0.75898,0.59199,0.82347,0.87939,1.13331,0.000268938,0.000268938,0.000268938
84,9167.12,0.75381,0.76792,1.0619,0.72289,0.69677,0.7639,0.59306,0.81792,0.87388,1.1288,0.000254791,0.000254791,0.000254791
